REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Service detail,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,TERMINATED,DECIMALS
2020-02,Nova Scotia,2016A000212,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170597,4.4.1.1,10495,,,0
2020-02,Nova Scotia,2016A000212,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170599,4.5.1.1,3430,,,0
2020-02,Nova Scotia,2016A000212,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170593,4.2.1.1,45919,,,0
2020-02,Nova Scotia,2016A000212,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170595,4.3.1.1,62825,,,0
2020-02,New Brunswick,2016A000213,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170601,5.1.1.1,88512,,,0
2020-02,New Brunswick,2016A000213,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170709,5.1.1.2,102438,,,0
2020-02,New Brunswick,2016A000213,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170607,5.4.1.1,4692,,,0
2020-02,New Brunswick,2016A000213,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170609,5.5.1.1,3842,,,0
2020-02,New Brunswick,2016A000213,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170603,5.2.1.1,29227,,,0
2020-02,New Brunswick,2016A000213,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170605,5.3.1.1,50752,,,0
2020-02,Quebec,2016A000224,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170611,6.1.1.1,1086962,,,0
2020-02,Quebec,2016A000224,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170710,6.1.1.2,1238953,,,0
2020-02,Quebec,2016A000224,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170617,6.4.1.1,94802,,,0
2020-02,Quebec,2016A000224,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170619,6.5.1.1,54608,,,0
2020-02,Quebec,2016A000224,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170613,6.2.1.1,546482,,,0
2020-02,Quebec,2016A000224,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170615,6.3.1.1,391070,,,0
2020-02,Ontario,2016A000235,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170621,7.1.1.1,2218905,,,0
2020-02,Ontario,2016A000235,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170711,7.1.1.2,2457151,,,0
2020-02,Ontario,2016A000235,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170627,7.4.1.1,212054,,,0
2020-02,Ontario,2016A000235,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170629,7.5.1.1,36080,,,0
2020-02,Ontario,2016A000235,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170623,7.2.1.1,943151,,,0
2020-02,Ontario,2016A000235,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170625,7.3.1.1,1027619,,,0
2020-02,Manitoba,2016A000246,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170631,8.1.1.1,163332,,,0
2020-02,Manitoba,2016A000246,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170712,8.1.1.2,176893,,,0
2020-02,Manitoba,2016A000246,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170637,8.4.1.1,16728,,,0
2020-02,Manitoba,2016A000246,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170639,8.5.1.1,2614,,,0
2020-02,Manitoba,2016A000246,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170633,8.2.1.1,68940,,,0
2020-02,Manitoba,2016A000246,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170635,8.3.1.1,75051,,,0
2020-02,Saskatchewan,2016A000247,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170641,9.1.1.1,142707,,,0
2020-02,Saskatchewan,2016A000247,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170713,9.1.1.2,156722,,,0
2020-02,Saskatchewan,2016A000247,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170647,9.4.1.1,7878,,,0
2020-02,Saskatchewan,2016A000247,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170649,9.5.1.1,7743,,,0
2020-02,Saskatchewan,2016A000247,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170643,9.2.1.1,56559,,,0
2020-02,Saskatchewan,2016A000247,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170645,9.3.1.1,70527,,,0
2020-02,Alberta,2016A000248,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170651,10.1.1.1,748004,,,0
2020-02,Alberta,2016A000248,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170714,10.1.1.2,828233,,,0
2020-02,Alberta,2016A000248,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170657,10.4.1.1,51165,,,0
2020-02,Alberta,2016A000248,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170659,10.5.1.1,22904,,,0
2020-02,Alberta,2016A000248,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170653,10.2.1.1,337686,,,0
2020-02,Alberta,2016A000248,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170655,10.3.1.1,336250,,,0
